user,target,sentiment label,full_text,cleaning_cleaned        ,case_folding
prasilviat82682,PreciosaKanti,1,@PreciosaKanti Atur sajalah . Negara ini toh milik kalian . Biar sajah Rakyat mah di cekik aturanbdan pajak ppn 12 persen . Biar sajah rakyat mah yg penting bayar pajak agar bisa membayar kalian para bandot kekuasaan !!!!!!!,Atur sajalah Negara ini toh milik kalian Biar sajah Rakyat mah di cekik aturanbdan pajak ppn persen Biar sajah rakyat mah yang penting bayar pajak agar bisa membayar kalian para bandot kekuasaan,atur sajalah negara ini toh milik kalian biar sajah rakyat mah di cekik aturanbdan pajak ppn persen biar sajah rakyat mah yang penting bayar pajak agar bisa membayar kalian para bandot kekuasaan
IconMan17,,0,Sri Mulyani akan tetap menerapkan tarif Pajak Pertambahan Nilai (PPN) 12 persen pada 1 Januari 2025. https://t.co/yjIv5sarwa,Sri Mulyani akan tetap menerapkan tarif Pajak Pertambahan Nilai PPN persen pada Januari,sri mulyani akan tetap menerapkan tarif pajak pertambahan nilai ppn persen pada januari
070Wid,,1,Pajak hanya untuk rakyat. Pengusaha yang dapat pemutihan Pajak dan penikmat pajak di PSN. Penjualan Mobil Terancam Lesu Lagi karena PPN 12 Persen pada 2025 https://t.co/A1XZ1WzWui,Pajak hanya untuk rakyat Pengusaha yang dapat pemutihan Pajak dan penikmat pajak di PSN Penjualan Mobil Terancam Lesu Lagi karena PPN Persen pada,pajak hanya untuk rakyat pengusaha yang dapat pemutihan pajak dan penikmat pajak di psn penjualan mobil terancam lesu lagi karena ppn persen pada
Duren___,Bryan_MyBoyx,1,@Bryan_MyBoyx Nyang kost mah tiap bulan dibayar ma ortu lewat kiriman.. Kalo Nyang enniihh???... THN depan pajak 12 persen.. blm yg lainnya..,Nyang kost mah tiap bulan dibayar ma ortu lewat kiriman Kalo Nyang enniihh THN depan pajak persen blm yang lainnya,nyang kost mah tiap bulan dibayar ma ortu lewat kiriman kalo nyang enniihh thn depan pajak persen blm yang lainnya
BryokAceh,cnbcindonesia,1,@cnbcindonesia Selamat buat 58 % yg telah memilih keberlanjutan Pajak Rakyat kecil naik 12 % tapi Pajak Penguasa Importir BEBAS NOL PERSEN.,Selamat buat yang telah memilih keberlanjutan Pajak Rakyat kecil naik tapi Pajak Penguasa Importir BEBAS NOL PERSEN,selamat buat yang telah memilih keberlanjutan pajak rakyat kecil naik tapi pajak penguasa importir bebas nol persen
sasaranbina,arkaatmaja7,1,@arkaatmaja7 @msaid_didu Penjilat Mulyono Go Blog. Lu 2025 bakal kaing2 kena pajak 12 persen. Mending lu tobat dari sekarang Bol DobOl. Hentikan menjilat Mulyono Bollll.,Penjilat Mulyono Go Blog Lu bakal kaing kena pajak persen Mending lu tobat dari sekarang Bol DobOl Hentikan menjilat Mulyono Bollll,penjilat mulyono go blog lu bakal kaing kena pajak persen mending lu tobat dari sekarang bol dobol hentikan menjilat mulyono bollll
andrikosasi,Puthutea,1,@Puthutea Royalti buku 10 persen Pajak Pertambahan Nilai 11(+1%).. wkwkwk g ngapa2in dapat 12 persen yg bikin cuma 10%..,Royalti buku persen Pajak Pertambahan Nilai wkwkwk g ngapain dapat persen yang bikin cuma,royalti buku persen pajak pertambahan nilai wkwkwk g ngapain dapat persen yang bikin cuma
pajakcom,,0,Survei KedaiKOPI: 83 2% Responden Jabodetabek Menolak Wacana Kenaikan PPN 12 Persen https://t.co/mByFDOmEFB,Survei KedaiKOPI Responden Jabodetabek Menolak Wacana Kenaikan PPN Persen,survei kedaikopi responden jabodetabek menolak wacana kenaikan ppn persen
Fortune_IDN,,0,Apa Efek jika Pajak Naik Menjadi 12 Persen? Ini Dampaknya https://t.co/kztJa68NHp,Apa Efek jika Pajak Naik Menjadi Persen Ini Dampaknya,apa efek jika pajak naik menjadi persen ini dampaknya
KedaiPenaCom,,0,Menko Perekonomian Belum Bisa Memastikan Penerapan Kenaikan Pajak Menjadi 12 Persen via @kedaipenacom https://t.co/0Y9f9MQaTI,Menko Perekonomian Belum Bisa Memastikan Penerapan Kenaikan Pajak Menjadi Persen via,menko perekonomian belum bisa memastikan penerapan kenaikan pajak menjadi persen via
